Timestamp,Number of Pixels in Range,food?
2023-07-07 15:13:16.243987,533,empty
2023-07-07 15:13:16.294996,574,empty
2023-07-07 15:13:16.349486,568,empty
2023-07-07 15:13:16.460429,468,empty
2023-07-07 15:13:16.538973,472,empty
2023-07-07 15:13:16.596474,570,empty
2023-07-07 15:13:16.664383,525,empty
2023-07-07 15:13:16.774691,528,empty
2023-07-07 15:13:16.867687,532,empty
2023-07-07 15:13:16.963249,553,empty
2023-07-07 15:13:17.614043,530,empty
2023-07-07 15:13:17.627796,546,empty
2023-07-07 15:13:17.640820,522,empty
2023-07-07 15:13:17.749950,516,empty
2023-07-07 15:13:17.819899,547,empty
2023-07-07 15:13:17.879459,553,empty
2023-07-07 15:13:17.939898,526,empty
2023-07-07 15:13:17.954548,504,empty
2023-07-07 15:13:18.028092,502,empty
2023-07-07 15:13:18.037023,580,empty
2023-07-07 15:13:18.096444,553,empty
2023-07-07 15:13:18.146748,524,empty
2023-07-07 15:13:18.168772,483,empty
2023-07-07 15:13:18.224911,547,empty
2023-07-07 15:13:18.246385,491,empty
2023-07-07 15:13:18.269386,550,empty
2023-07-07 15:13:18.292533,547,empty
2023-07-07 15:13:18.310042,509,empty
2023-07-07 15:13:18.335096,521,empty
2023-07-07 15:13:18.397358,501,empty
2023-07-07 15:13:18.552252,521,empty
2023-07-07 15:13:18.623785,544,empty
2023-07-07 15:13:19.173703,523,hand
2023-07-07 15:13:19.231306,533,hand
2023-07-07 15:13:19.272910,628,hand
2023-07-07 15:13:19.333692,3671,hand
2023-07-07 15:13:19.352066,3826,hand
2023-07-07 15:13:19.393207,4008,hand
2023-07-07 15:13:19.440987,4809,hand
2023-07-07 15:13:19.492749,4843,hand
2023-07-07 15:13:19.545367,5005,hand
2023-07-07 15:13:19.645529,5216,hand
2023-07-07 15:13:19.710781,5329,hand
2023-07-07 15:13:19.778846,5568,hand
2023-07-07 15:13:19.845186,5603,hand
2023-07-07 15:13:19.977058,5605,hand
2023-07-07 15:13:20.072435,5595,hand
2023-07-07 15:13:21.020142,5856,hand
2023-07-07 15:13:21.119825,5860,hand
2023-07-07 15:13:21.351005,5642,hand
2023-07-07 15:13:21.389802,5528,hand
2023-07-07 15:13:21.454217,5325,hand
2023-07-07 15:13:21.525805,3463,hand
2023-07-07 15:13:21.541002,3471,hand
2023-07-07 15:13:21.573926,3465,hand
2023-07-07 15:13:21.607894,3444,hand
2023-07-07 15:13:21.665226,3444,hand
2023-07-07 15:13:21.733440,3534,hand
2023-07-07 15:13:21.785741,3514,hand
2023-07-07 15:13:21.845900,3487,hand
2023-07-07 15:13:21.907729,3519,hand
2023-07-07 15:13:22.023558,3479,food
2023-07-07 15:13:22.128225,3494,food
2023-07-07 15:13:22.198331,3304,food
2023-07-07 15:13:22.857620,3478,food
2023-07-07 15:13:22.896299,3531,food
2023-07-07 15:13:22.936286,3171,food
2023-07-07 15:13:22.998761,3445,food
2023-07-07 15:13:23.016891,3414,food
2023-07-07 15:13:23.079794,3369,food
2023-07-07 15:13:23.127882,3428,food
2023-07-07 15:13:23.186342,3357,food
2023-07-07 15:13:23.252317,3432,food
2023-07-07 15:13:23.359485,3321,food
2023-07-07 15:13:23.415562,3439,food
2023-07-07 15:13:23.490833,3245,food
2023-07-07 15:13:23.575014,3338,food
2023-07-07 15:13:23.664231,3422,food
2023-07-07 15:13:23.742494,3403,food
2023-07-07 15:13:23.820788,3489,food
2023-07-07 15:13:23.923533,3467,food
2023-07-07 15:13:24.019196,3414,food
2023-07-07 15:13:24.098840,3506,food
2023-07-07 15:13:24.173944,3354,food
2023-07-07 15:13:24.847426,3508,food
2023-07-07 15:13:24.917658,3269,food
2023-07-07 15:13:24.953774,3471,food
2023-07-07 15:13:25.016945,3415,food
2023-07-07 15:13:25.027873,3360,food
2023-07-07 15:13:25.061000,3459,food
2023-07-07 15:13:25.096795,3377,food
2023-07-07 15:13:25.154454,3317,food
2023-07-07 15:13:25.239943,3278,food
2023-07-07 15:13:25.302939,3447,food
2023-07-07 15:13:25.356643,3246,food
2023-07-07 15:13:25.416026,3251,food
2023-07-07 15:13:25.504936,3379,food
2023-07-07 15:13:25.605231,3279,food
2023-07-07 15:13:25.706590,3357,food
2023-07-07 15:13:25.816262,3299,food
2023-07-07 15:13:28.163182,3376,food
2023-07-07 15:13:28.198406,3297,food
2023-07-07 15:13:28.243810,3292,food
2023-07-07 15:13:28.372133,3304,food
2023-07-07 15:13:28.408214,3237,food
2023-07-07 15:13:28.442140,3302,food
2023-07-07 15:13:28.492599,3394,food
2023-07-07 15:13:28.543916,3252,food
2023-07-07 15:13:28.600219,3205,food
2023-07-07 15:13:28.653840,3247,food
2023-07-07 15:13:28.717598,3245,food
2023-07-07 15:13:28.793615,3225,food
2023-07-07 15:13:28.851374,3436,food
2023-07-07 15:13:28.938543,3274,food
2023-07-07 15:13:29.044592,3143,food
2023-07-07 15:13:29.173616,3381,food
2023-07-07 15:13:30.151711,3414,hand
2023-07-07 15:13:30.168040,3271,hand
2023-07-07 15:13:30.181278,3355,hand
2023-07-07 15:13:30.269941,3157,hand
2023-07-07 15:13:30.333845,3171,hand
2023-07-07 15:13:30.411051,3280,hand
2023-07-07 15:13:30.464984,3351,hand
2023-07-07 15:13:30.525359,3417,hand
2023-07-07 15:13:30.544753,3167,hand
2023-07-07 15:13:30.599690,3094,hand
2023-07-07 15:13:30.625922,3272,hand
2023-07-07 15:13:30.685733,3233,hand
2023-07-07 15:13:30.702262,3354,hand
2023-07-07 15:13:30.765325,3246,hand
2023-07-07 15:13:30.787552,3346,hand
2023-07-07 15:13:30.812357,3286,hand
2023-07-07 15:13:30.829243,3318,hand
2023-07-07 15:13:30.855533,3180,hand
2023-07-07 15:13:30.873312,3289,hand
2023-07-07 15:13:30.892898,3274,hand
2023-07-07 15:13:31.012719,3355,hand
2023-07-07 15:13:31.076050,3234,hand
2023-07-07 15:13:31.140784,3183,hand
2023-07-07 15:13:31.270739,3611,hand
2023-07-07 15:13:31.336271,3369,hand
2023-07-07 15:13:31.424863,2693,hand
2023-07-07 15:13:31.656013,3178,hand
2023-07-07 15:13:31.672909,4317,hand
2023-07-07 15:13:31.689684,4194,hand
2023-07-07 15:13:31.708449,1577,hand
2023-07-07 15:13:31.726800,684,hand
2023-07-07 15:13:31.745909,103,hand
2023-07-07 15:13:31.781567,155,hand
2023-07-07 15:13:31.799807,226,hand
2023-07-07 15:13:31.816133,234,hand
2023-07-07 15:13:31.832969,312,hand
2023-07-07 15:13:31.851704,355,hand
2023-07-07 15:13:31.866394,238,hand
2023-07-07 15:13:31.900407,223,hand
2023-07-07 15:13:31.919048,170,hand
2023-07-07 15:13:31.935425,230,hand
2023-07-07 15:13:31.956270,285,hand
2023-07-07 15:13:32.117255,343,hand
2023-07-07 15:13:32.186394,251,hand
2023-07-07 15:13:32.262920,285,hand
2023-07-07 15:13:32.337124,250,hand
2023-07-07 15:13:32.436195,196,hand
2023-07-07 15:13:32.530655,233,hand
2023-07-07 15:13:32.607669,121,hand
2023-07-07 15:13:33.248740,198,empty
2023-07-07 15:13:33.309939,185,empty
2023-07-07 15:13:33.398315,245,empty
2023-07-07 15:13:33.485312,202,empty
2023-07-07 15:13:33.503104,227,empty
2023-07-07 15:13:33.538659,249,empty
2023-07-07 15:13:33.578350,212,empty
2023-07-07 15:13:33.629325,229,empty
