Timestamp,Number of Pixels in Range,food?
2023-06-29 13:59:51.679030,362,empty
2023-06-29 13:59:51.765318,376,empty
2023-06-29 13:59:52.256486,0,empty
2023-06-29 13:59:52.296101,0,empty
2023-06-29 13:59:52.334219,0,empty
2023-06-29 13:59:52.382797,0,empty
2023-06-29 13:59:52.393581,0,empty
2023-06-29 13:59:52.406399,0,empty
2023-06-29 13:59:52.457137,386,empty
2023-06-29 13:59:52.509899,358,empty
2023-06-29 13:59:52.565527,342,empty
2023-06-29 13:59:52.616460,342,empty
2023-06-29 13:59:52.666653,376,empty
2023-06-29 13:59:52.717856,348,empty
2023-06-29 13:59:52.767607,350,empty
2023-06-29 13:59:52.834894,404,empty
2023-06-29 13:59:52.885933,366,empty
2023-06-29 13:59:52.960979,364,empty
2023-06-29 13:59:53.019512,396,empty
2023-06-29 13:59:53.088055,336,empty
2023-06-29 13:59:53.156205,374,empty
2023-06-29 13:59:53.225082,374,empty
2023-06-29 13:59:53.295764,376,empty
2023-06-29 13:59:53.362282,356,empty
2023-06-29 13:59:53.435402,376,empty
2023-06-29 13:59:53.510320,350,empty
2023-06-29 13:59:53.577697,382,empty
2023-06-29 13:59:53.648481,364,empty
2023-06-29 13:59:53.711574,362,empty
2023-06-29 13:59:53.805639,412,empty
2023-06-29 13:59:53.866361,378,empty
2023-06-29 13:59:53.934262,350,empty
2023-06-29 13:59:54.005463,356,empty
2023-06-29 13:59:54.089452,390,empty
2023-06-29 13:59:54.174467,394,empty
2023-06-29 13:59:54.261899,384,empty
2023-06-29 13:59:54.335099,368,empty
2023-06-29 13:59:54.420256,374,empty
2023-06-29 13:59:54.501636,388,empty
2023-06-29 13:59:54.568452,380,empty
2023-06-29 13:59:54.631462,364,empty
2023-06-29 13:59:54.711552,396,empty
2023-06-29 13:59:54.782164,390,empty
2023-06-29 13:59:54.849817,382,empty
2023-06-29 13:59:54.916155,354,empty
2023-06-29 13:59:55.007805,370,empty
2023-06-29 13:59:55.093987,336,empty
2023-06-29 13:59:55.181085,358,empty
2023-06-29 13:59:55.263967,354,empty
2023-06-29 13:59:55.921243,0,empty
2023-06-29 13:59:55.962836,0,empty
2023-06-29 13:59:56.025173,0,empty
2023-06-29 13:59:56.091589,0,empty
2023-06-29 13:59:56.107438,0,empty
2023-06-29 13:59:56.154157,0,empty
2023-06-29 13:59:56.186462,0,empty
2023-06-29 13:59:56.216784,364,empty
2023-06-29 13:59:56.271270,336,empty
2023-06-29 13:59:56.321708,350,empty
2023-06-29 13:59:56.369339,374,empty
2023-06-29 13:59:56.413248,368,empty
2023-06-29 13:59:56.481968,358,empty
2023-06-29 13:59:56.528030,368,empty
2023-06-29 13:59:56.594496,354,empty
2023-06-29 13:59:56.640439,326,empty
2023-06-29 13:59:56.703990,348,empty
2023-06-29 13:59:56.750423,340,empty
2023-06-29 13:59:56.814976,360,empty
2023-06-29 13:59:56.875885,338,empty
2023-06-29 13:59:56.936159,332,empty
2023-06-29 13:59:56.981980,330,empty
2023-06-29 13:59:57.052511,326,empty
2023-06-29 13:59:57.118099,318,empty
2023-06-29 13:59:57.164189,330,empty
2023-06-29 13:59:57.233312,332,empty
2023-06-29 13:59:57.317148,328,empty
2023-06-29 13:59:57.379150,332,empty
2023-06-29 13:59:57.426799,362,empty
2023-06-29 13:59:57.493546,342,empty
2023-06-29 13:59:57.591747,316,empty
2023-06-29 13:59:57.654409,346,empty
2023-06-29 13:59:57.701529,322,empty
2023-06-29 13:59:57.769258,330,empty
2023-06-29 13:59:57.857048,294,empty
2023-06-29 13:59:57.926761,324,empty
2023-06-29 13:59:57.976413,308,empty
2023-06-29 13:59:58.045714,340,hand
2023-06-29 13:59:58.132954,302,hand
2023-06-29 13:59:58.195994,338,hand
2023-06-29 13:59:58.261518,306,hand
2023-06-29 13:59:58.325290,312,hand
2023-06-29 13:59:58.391644,326,hand
2023-06-29 13:59:58.453206,304,hand
2023-06-29 13:59:58.513159,358,hand
2023-06-29 13:59:58.573193,438,hand
2023-06-29 13:59:58.640932,314,hand
2023-06-29 13:59:58.703269,314,hand
2023-06-29 13:59:58.751633,340,hand
2023-06-29 13:59:58.818342,912,hand
2023-06-29 13:59:58.885600,2374,hand
2023-06-29 13:59:58.959035,2634,hand
2023-06-29 13:59:59.015753,2320,hand
2023-06-29 13:59:59.105873,2204,hand
2023-06-29 13:59:59.222072,2524,hand
2023-06-29 13:59:59.305416,2652,hand
2023-06-29 13:59:59.379968,2724,hand
2023-06-29 13:59:59.445454,3144,hand
2023-06-29 13:59:59.553909,2960,hand
2023-06-29 13:59:59.626276,2798,hand
2023-06-29 13:59:59.693811,2842,hand
2023-06-29 13:59:59.763280,3440,hand
2023-06-29 13:59:59.871105,3540,hand
2023-06-29 13:59:59.932150,3732,hand
2023-06-29 13:59:59.993986,3924,hand
2023-06-29 14:00:00.055435,4362,hand
2023-06-29 14:00:00.133030,4506,hand
2023-06-29 14:00:00.199497,4660,hand
