num_pixels,prob_0,prob_1
0,0.8086609163449295,0.19133908365507055
1,0.8087632325435672,0.19123676745643356
2,0.8088653463464766,0.1911346536535241
3,0.8089672579534367,0.1910327420465636
4,0.8090689675639028,0.1909310324360972
5,0.8091704753770057,0.19082952462299446
6,0.8092717815915506,0.19072821840844925
7,0.8093728864060207,0.1906271135939796
8,0.8094737900185716,0.19052620998142847
9,0.8095744926270364,0.19042550737296424
10,0.8096749944289214,0.19032500557107865
11,0.809775295621409,0.19022470437859015
12,0.8098753964013581,0.19012460359864172
13,0.8099752969652988,0.1900247030347009
14,0.8100749975094377,0.1899250024905616
15,0.8101744982296563,0.1898255017703435
16,0.8102737993215089,0.18972620067849089
17,0.8103729009802262,0.18962709901977423
18,0.8104718034007096,0.1895281965992899
19,0.8105705067775392,0.18942949322246122
20,0.810669011304964,0.1893309886950359
21,0.8107673171769116,0.1892326828230892
22,0.8108654245869792,0.1891345754130215
23,0.8109633337284389,0.189036666271561
24,0.8110610447942384,0.18893895520576176
25,0.8111585579769955,0.18884144202300385
26,0.8112558734690045,0.18874412653099576
27,0.8113529914622294,0.18864700853777103
28,0.8114499121483087,0.1885500878516908
29,0.8115466357185562,0.1884533642814438
30,0.8116431623639555,0.18835683763604483
31,0.8117394922751622,0.18826050772483705
32,0.8118356256425101,0.18816437435748984
33,0.8119315626559985,0.18806843734400075
34,0.8120273035053049,0.18797269649469503
35,0.8121228483797764,0.18787715162022395
36,0.8122181974684319,0.18778180253156848
37,0.8123133509599653,0.1876866490400355
38,0.812408309042739,0.1875916909572611
39,0.8125030719047905,0.18749692809520896
40,0.8125976397338298,0.18740236026616974
41,0.8126920127172369,0.18730798728276393
42,0.8127861910420614,0.1872138089579384
43,0.8128801748950311,0.18711982510496922
44,0.8129739644625403,0.1870260355374601
45,0.8130675599306558,0.18693244006934462
46,0.8131609614851174,0.18683903851488207
47,0.8132541693113369,0.18674583068866282
48,0.813347183594395,0.18665281640560435
49,0.8134400045190469,0.18655999548095362
50,0.8135326322697148,0.18646736773028516
51,0.8136250670304971,0.1863749329695037
52,0.8137173089851597,0.18628269101484105
53,0.8138093583171403,0.18619064168285923
54,0.8139012152095516,0.1860987847904488
55,0.8139928798451715,0.18600712015482895
56,0.8140843524064514,0.18591564759354845
57,0.8141756330755151,0.1858243669244845
58,0.8142667220341551,0.1857332779658443
59,0.8143576194638361,0.18564238053616317
60,0.8144483255456931,0.18555167445430684
61,0.8145388404605313,0.1854611595394693
62,0.8146291643888257,0.18537083561117398
63,0.8147192975107264,0.18528070248927395
64,0.814809240006047,0.18519075999395215
65,0.8148989920542788,0.1851010079457206
66,0.8149885538345794,0.18501144616542045
67,0.8150779255257781,0.18492207447422243
68,0.8151671073063732,0.1848328926936275
69,0.8152560993545347,0.18474390064546545
